,#,Company,Symbol,Weight,Price,Chg,% Chg
306,307,Occidental Petroleum Corporation,OXY,0.05961,26.98,0.40,(1.51%)
307,308,Xylem Inc.,XYL,0.059463,123.93,0.67,(0.54%)
308,309,Albemarle Corporation,ALB,0.059381,194.59,4.24,(2.23%)
309,310,Martin Marietta Materials Inc.,MLM,0.059348,353.66,-2.57,(-0.72%)
310,311,VeriSign Inc.,VRSN,0.059235,222.96,0.42,(0.19%)
311,312,Expeditors International of Washington Inc.,EXPD,0.059063,129.60,-0.76,(-0.58%)
312,313,Hartford Financial Services Group Inc.,HIG,0.058715,61.92,0.52,(0.85%)
313,314,CarMax Inc.,KMX,0.058624,134.96,0.12,(0.09%)
314,315,Qorvo Inc.,QRVO,0.058493,192.72,-0.38,(-0.19%)
315,316,Tractor Supply Company,TSCO,0.058391,187.66,-0.04,(-0.02%)
316,317,PPL Corporation,PPL,0.05813,28.23,-0.03,(-0.11%)
317,318,Nasdaq Inc.,NDAQ,0.057916,186.57,-1.19,(-0.63%)
318,319,Essex Property Trust Inc.,ESS,0.057708,330.67,-1.24,(-0.37%)
319,320,Teradyne Inc.,TER,0.057416,127.64,-1.17,(-0.90%)
320,321,Mid-America Apartment Communities Inc.,MAA,0.057401,186.37,-1.24,(-0.66%)
321,322,FLEETCOR Technologies Inc.,FLT,0.057361,257.44,0.36,(0.14%)
322,323,McCormick & Company Incorporated,MKC,0.057087,85.42,-0.30,(-0.35%)
323,324,Ameren Corporation,AEE,0.057058,83.11,-0.28,(-0.34%)
324,325,Edison International,EIX,0.05705,55.23,-1.00,(-1.78%)
325,326,Church & Dwight Co. Inc.,CHD,0.056691,86.48,0.00,(0.00%)
326,327,Tyson Foods Inc. Class A,TSN,0.056228,71.04,-0.28,(-0.39%)
327,328,Trimble Inc.,TRMB,0.056012,83.30,-0.16,(-0.19%)
328,329,FirstEnergy Corp.,FE,0.055895,38.70,0.23,(0.60%)
329,330,Arista Networks Inc.,ANET,0.055852,377.90,-3.08,(-0.81%)
330,331,STERIS Plc,STE,0.055401,211.17,-1.30,(-0.61%)
331,332,Teledyne Technologies Incorporated,TDY,0.055361,445.36,-0.30,(-0.07%)
332,333,L Brands Inc.,LB,0.055213,77.16,-0.70,(-0.89%)
333,334,Entergy Corporation,ETR,0.055096,103.53,0.79,(0.77%)
334,335,Domino's Pizza Inc.,DPZ,0.054539,538.33,12.88,(2.45%)
335,336,Huntington Bancshares Incorporated,HBAN,0.054469,13.93,0.11,(0.80%)
336,337,Hess Corporation,HES,0.054355,75.24,0.87,(1.17%)
337,338,Tyler Technologies Inc.,TYL,0.05404,494.37,-3.48,(-0.70%)
338,339,W.W. Grainger Inc.,GWW,0.05396,457.13,-1.54,(-0.33%)
339,340,Cooper Companies Inc.,COO,0.053912,405.67,-4.40,(-1.07%)
340,341,Broadridge Financial Solutions Inc.,BR,0.053425,172.20,-0.29,(-0.17%)
341,342,Take-Two Interactive Software Inc.,TTWO,0.053386,172.68,-0.61,(-0.35%)
342,343,Catalent Inc,CTLT,0.053021,113.09,-3.17,(-2.73%)
343,344,Charles River Laboratories International Inc.,CRL,0.052782,392.35,-3.97,(-1.00%)
344,345,Healthpeak Properties Inc.,PEAK,0.052263,36.35,0.08,(0.22%)
345,346,Akamai Technologies Inc.,AKAM,0.052184,119.36,-0.19,(-0.15%)
346,347,Western Digital Corporation,WDC,0.052173,64.43,0.68,(1.07%)
347,348,Paycom Software Inc.,PAYC,0.051973,393.15,-2.75,(-0.69%)
348,349,Ulta Beauty Inc,ULTA,0.051464,344.61,3.03,(0.89%)
349,350,Duke Realty Corporation,DRE,0.051276,50.82,-0.48,(-0.94%)
350,351,Darden Restaurants Inc.,DRI,0.050381,146.35,1.83,(1.27%)
351,352,Caesars Entertainment Inc,CZR,0.05031,92.48,2.17,(2.40%)
352,353,Genuine Parts Company,GPC,0.049862,128.63,-0.46,(-0.36%)
